"CPUBID_XRND","MPUBID_XRND","CRACE_XRND","CSEX_XRND","CYRB_XRND","BPI2014_2014","DIGIT2014_2014","COGNP2014_2014","MATH2014_2014","RECOG2014_2014","COMP2014_2014","PPVT2014_2014"
365410,3654,3,1,2003,270,NA,23,41,36,28,NA
369705,3697,1,1,2001,60,NA,NA,NA,NA,NA,NA
373703,3737,3,1,2003,0,11,90,64,49,48,137
380901,3809,3,1,2002,30,NA,61,66,61,58,NA
387601,3876,3,1,2000,0,NA,23,59,67,50,NA
391503,3915,3,2,2005,170,10,84,60,49,68,NA
402302,4023,3,1,2001,40,NA,12,63,60,47,NA
407101,4071,2,1,2001,NA,NA,12,55,65,49,NA
409201,4092,3,1,2000,0,NA,90,63,73,62,NA
409402,4094,3,2,2000,130,NA,23,73,76,61,NA
414803,4148,3,2,2001,100,NA,90,65,70,63,NA
415303,4153,3,1,2004,160,10,23,NA,63,NA,NA
422302,4223,3,1,2000,NA,NA,61,59,75,62,NA
425002,4250,3,2,2000,0,NA,NA,67,62,46,NA
428401,4284,3,2,2001,70,NA,NA,NA,NA,NA,NA
428402,4284,3,1,2002,50,NA,NA,NA,NA,NA,NA
441101,4411,3,1,2002,0,NA,77,65,65,57,NA
441102,4411,3,1,2004,40,11,77,53,57,51,115
443101,4431,2,2,2011,NA,NA,50,NA,NA,NA,NA
443102,4431,2,2,2011,NA,NA,50,NA,NA,NA,NA
446503,4465,3,1,2002,170,NA,61,15,23,21,NA
448801,4488,3,1,2003,30,NA,77,71,56,55,116
448802,4488,3,1,2006,80,11,77,53,70,40,NA
448803,4488,3,2,2008,80,15,50,33,29,26,NA
452602,4526,3,1,2000,30,NA,61,74,73,68,NA
452701,4527,1,2,2002,50,NA,NA,NA,NA,NA,NA
456502,4565,3,1,2002,40,NA,61,68,67,58,NA
461302,4613,3,1,2003,20,NA,77,63,56,52,NA
463104,4631,3,2,2001,110,NA,NA,NA,NA,NA,NA
466203,4662,3,1,2003,90,15,77,62,60,49,142
469101,4691,3,1,2003,249,NA,NA,NA,NA,NA,NA
469102,4691,3,1,2008,100,NA,NA,NA,NA,NA,NA
469203,4692,3,1,2000,30,NA,90,77,81,69,NA
470502,4705,3,1,2000,33,NA,23,69,84,59,NA
470603,4706,3,1,2005,194,21,84,44,46,46,NA
487303,4873,3,2,2000,50,NA,61,67,72,58,NA
487801,4878,3,1,2003,20,NA,77,59,56,44,NA
498801,4988,3,2,2005,10,19,NA,60,46,43,NA
