"","Kommunkod","Region","Population","Andel_födda_på_population"
"123","1482","Kungälv",49785,9.62
"146","1484","Lysekil",13969,7.09
"260","1485","Uddevalla",57045,9.73
"233","1486","Strömstad",13476,9.8
"271","1487","Vänersborg",40012,9.87
"257","1488","Trollhättan",59073,9.51
"2","1489","Alingsås",42382,8.92
"31","1490","Borås",114592,9.78
"261","1491","Ulricehamn",25087,8.45
"8","1492","Åmål",12006,6.58
"150","1493","Mariestad",24647,7.67
"134","1494","Lidköping",40539,8.86
"212","1495","Skara",18654,9.97
"215","1496","Skövde",57763,9.64
"90","1497","Hjo",9258,8.86
"245","1498","Tidaholm",12839,9.42
"53","1499","Falköping",32991,10.34
"112","1715","Kil",12085,8.77
"43","1730","Eda",8499,7.65
"253","1737","Torsby",11387,6.94
"230","1760","Storfors",3801,8.16
"79","1761","Hammarö",16940,7.73
"162","1762","Munkfors",3669,7.9
"59","1763","Forshaga",11538,8.58
"70","1764","Grums",9057,7.73
"14","1765","Årjäng",9893,9
"237","1766","Sunne",13366,8.16
"109","1780","Karlstad",97233,8.62
"120","1781","Kristinehamn",23817,7.56
"56","1782","Filipstad",10034,6.58
"74","1783","Hagfors",11536,8.15
"17","1784","Arvika",25682,6.42
"203","1785","Säffle",15011,8.13
"129","1814","Lekeberg",8606,8.95
"128","1860","Laxå",5497,5.09
"76","1861","Hallsberg",16232,8.5
"41","1862","Degerfors",9357,6.73
"75","1863","Hällefors",6495,5.23
"140","1864","Ljusnarsberg",4407,7.03
"180","1880","Örebro",159348,9.92
"122","1881","Kumla",22516,9.33
"19","1882","Askersund",11478,8.97
"107","1883","Karlskoga",30261,8.82
"165","1884","Nora",10627,7.9
"136","1885","Lindesberg",23292,8.46
"214","1904","Skinnskatteberg",4348,6.44
"238","1907","Surahammar",9934,8.66
"125","1960","Kungsör",8643,9.02
"77","1961","Hallstahammar",16654,9.25
"166","1962","Norberg",5517,6.16
"279","1980","Västerås",159662,9.73
"204","1981","Sala",22853,8.36
"51","1982","Fagersta",13222,7.49
"117","1983","Köping",25978,9.01
"12","1984","Arboga",14002,7.86
"273","2021","Vansbro",6728,7.88
"149","2023","Malung-Sälen",10260,8.67
"60","2026","Gagnef",10430,10.93
"130","2029","Leksand",16043,7.79
"200","2031","Rättvik",11042,7.34
"183","2034","Orsa",6908,7.24
"4","2039","Älvdalen",6929,6.35
"217","2061","Smedjebacken",10913,7.61
"157","2062","Mora",20536,6.43
"54","2080","Falun",59986,9.42
"33","2081","Borlänge",51735,8.97
"207","2082","Säter",11243,8.89
"87","2083","Hedemora",15345,7.62
"22","2084","Avesta",22753,8.79
"142","2085","Ludvika",26402,8.45
"176","2101","Ockelbo",5758,7.82
"91","2104","Hofors",9374,7.25
"191","2121","Ovanåker",11525,9.28
"167","2132","Nordanstig",9370,7.36
"139","2161","Ljusdal",18538,6.58
"62","2180","Gävle",103532,8.66
"206","2181","Sandviken",38628,8.18
"218","2182","Söderhamn",24858,6.72
"30","2183","Bollnäs",26414,7.42
"97","2184","Hudiksvall",37645,7.81
"10","2260","Ånge",9109,7.47
"247","2262","Timrå",17540,7.81
"83","2280","Härnösand",24654,7.67
"236","2281","Sundsvall",99213,8.58
"118","2282","Kramfors",17631,6.18
"221","2283","Sollefteå",18523,7.18
"182","2284","Örnsköldsvik",55478,8.33
"199","2303","Ragunda",5135,9.15
"36","2305","Bräcke",6099,5.57
"121","2309","Krokom",15595,9.17
"234","2313","Strömsund",11113,6.75
"13","2321","Åre",12464,10.59
"25","2326","Berg",7140,8.26
"82","2361","Härjedalen",10145,6.9
"188","2380","Östersund",64881,9.22
"168","2401","Nordmaling",7033,7.82
"26","2403","Bjurholm",2348,8.94
"287","2404","Vindeln",5461,9.34
"201","2409","Robertsfors",6740,6.68
"171","2417","Norsjö",3924,5.86
"147","2418","Malå",2990,10.37
"231","2421","Storuman",5621,5.69
"225","2422","Sorsele",2387,6.28
"42","2425","Dorotea",2339,3.42
"272","2460","Vännäs",9059,11.26
"285","2462","Vilhelmina",6263,6.23
"18","2463","Åsele",2718,7.36
"262","2480","Umeå",133091,9.17
"145","2481","Lycksele",12213,7.7
"213","2482","Skellefteå",76542,8.19
"16","2505","Arvidsjaur",6113,8.18
"15","2506","Arjeplog",2609,5.37
